Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
NEU;Neumarkt;4;2;Schlebusch;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;4;2;Bocklemünd [Rochusplatz];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;7;5;Frechen-Benzelrath;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;7;5;Frechen-Benzelrath;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;9;3;Königsforst;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;9;5;Sülz Hermeskeiler Platz;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEW;Neuenweg;1;;;JA;;;;;;
NFS;Neufelder Straße;13;;;JA;;;;;;
NFS;Neufelder Straße;3;;;JA;;;;;;
NIL;Niehl Nord;12;;;JA;;;;;;
NIS;Niehl Sebastianstraße;16;;;JA;Straße;;;;;
NRO;Nesselrodestraße;16;;;JA;Straße;;;;;
NSG;Neusser Straße/Gürtel;12;1;Merkenich [Niehl Nord];JA;Hochbahn;;JA;JA;;A1: (U) Fahrtrichtung: Florastr. - Zollstock - Chlodwigplatz <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Amsterdamer Str. - Mülheim | A2: Fahrtrichtung: Mollwitzstr. - Merkenich - Chorweiler <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Geldernstr. - Venloer Str./Gürtel - Sülzgürtel
NSG;Neusser Straße/Gürtel;13;3;Sülzgürtel;JA;Hochbahn;;JA;JA;;A1: (U) Fahrtrichtung: Florastr. - Zollstock - Chlodwigplatz <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Amsterdamer Str. - Mülheim | A2: Fahrtrichtung: Mollwitzstr. - Merkenich - Chorweiler <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Geldernstr. - Venloer Str./Gürtel - Sülzgürtel
NSG;Neusser Straße/Gürtel;13;4;Thielenbruch;JA;Hochbahn;;JA;JA;;A1: (U) Fahrtrichtung: Florastr. - Zollstock - Chlodwigplatz <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Amsterdamer Str. - Mülheim | A2: Fahrtrichtung: Mollwitzstr. - Merkenich - Chorweiler <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Geldernstr. - Venloer Str./Gürtel - Sülzgürtel
